id	prompt	essay	content	organization	language	total
1540	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	" KAIST is great university. It has lots of great professors and students, researching atmosphere with passion, and massive information for study. But I think there is the only one thing  that KAIST should change. KAIST should make a tunnel through Hill Eoeun. It probably sounds weird, so now I'll explain why the tunnel should be constructed now.
  First reason is that student in western KAIST dormitory can't excess their lecture rooms well. Many of KAIST lectures are provided in eastern or northern buildings, especially E11. The western dormitory is in the opposite site from them through the hill. According to the interview of a student living in Heemang dormitory, ""We should go around the hill everyday."" He added, ""If I want to go to N1, I should start walking advanced to 30 minutes.""
  Second, there is no people in the dormitory this semester. Constructing tunnel could make a lot of noise to students who live in a dormitory. However, now there are only few students because COVID-19 limited students not to get into the dormitory. So, it seems to be a great chance to make a tunnel in this semester. According to the statistics, even if we get vaccine of the virus this March, the mass immune would be created since this November 2021.
  The final reson is that we can get a cool passage during the summer season. Tunnel is quite chill because it is in underground. This could provide cool passage without making any air conditioning structure. Students have to take a long way to reach dormitory with hot condition. By this tunnel, students could get into the dormitory in less tired condition. So, it could make a less electiricity usage.
  It is the timing to make a giant tunnel throught Hill Eoeun. Western dormitory students claim for their imcomfortableness accessing the dormitory. Also, this is the best timing to build it with less pain of constructing noise. Also, we could get a cool place without using extra electricity.There aren't many students in a dormitory because of the COVID-19 situation, so probably we don't need it this year. However, we can feel the imconfortableness when we restart a face-to-face lecture after the situation. So, we need to start to make a tunnel through Hill Eoeun."	4.0	4.5	4.0	12.5
595	Some people think that the family is the most important influence on young adults. Other people think that friends are the most important influence on young adults. Which view do you agree with? Use examples to support your position.	"Almost every students in university are young adults. They spend their time with friends, family, professors to gain something good. 'Something good' can be happiness, joy, money or knowledge. While spending hours with other people, they are being similar with each other. In this situation, who are the most important influence on young adults? I think the answer is 'friends'. Friends influence on young adults each other a lot. This essay will show readers why they are most important.

The first reason is amount of time with each other. Almost every young adults spend there leisure time only with friends. In fact, university students in Korea spend almost 50% of their time on leisure time. The quantitative time of spending hour with friends is very big, so friends are the most important influence on each other. In KAIST, students are living in there own dormitory, not in there house. So they use almost 100% of their time with friends, so they are being similar with each other. This can be a nice example.

Second, amount of talk with friend is the most. We are living in the 'age of smart phone', so huge wave of information flows all around the world. As people catch that wave from SNS when the information is born, it is hard to make talk subject between SNS lovers and someone who don't interests in SNS. SNS lovers only talk about trend, and the others only talk about the past. That situation can be held in family. However, young adult friends have same talk source because almost every students uses SNS. This makes young adults to talk with only each other, so they influence each other a lot. That makes friends are the most important influence.

The third reason is no generation gap is existing between friends. Many 50 years old people loves mountain walking, many 30 years old people likes baseball and almost every 10 years old people loves smart phone games. This generation gap makes them being similar with only each other who have same hobby. As there is no hobby between friends, they are the most important influence with each other.

There are no generation gap between friends, and quantitative amount of spending time with friend is very big. As they talk with friends more than their family, young adults are being similar with each other, so they are the most important influence for themselves. However, only talk with same generation is not good point. Older people can gives us how to live, and young children can gives us hope and new technology. It is important to talk with other generation so that we can grow up as a good adult."	3.5	4.5	4.0	12.0
1412	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"   KAIST, our university, has many differences from other universities. First of all, KAIST is the Institute of Science and Technology, with only departments with natural science and engineering. There are many departments in KAIST such as mathematics, electrical engineering, computer science, physics, and more. Freshmen in KAIST go to School of Freshmen which they can study basic subjects of mathematics, physics, chemistry, biology, and programming. Students in KAIST choose their major subject as they go to second grade. The purpose of the School of Freshmen is to give opportunity to explore many subjects. I think this is the biggest difference compared to other universities. In spite of School of Freshmen provides opportunity of exploring many subjects to students, I think there are more disadvantages of School of Freshmen. If I could change one important thing about KAIST, I would like to change the system of School of Freshmen.

   First, there are many students who have already decided their major subject. In my case, I am interested in computer science, so I have decided to go to School of Computing even before the admission. I think some basic subjects such as mathematics and English are essential for all majors, but some subjects such as physics, chemistry, and biology might not be helpful unless the student choose the related major. It might be a waste of time to students who have already decided the major. Furthermore, these students would like to study more about subjects they are interested in. Basic subjects which are mandatory might make students harder to study their interested subjects.

   Second, taking all classes of basic subjects might cause bad effects on student's grade. Every student has their own subject of confidence. Some student might have talent in mathematics, but the student might be poor in other subjects such as chemistry. In my case, I am confident with subjects of programming, but I am not good at chemistry. The system about learning all basic subjects might make student's grade lower.

   Finally, systems in School of Freshmen is not the only way to explore many majors. The main purpose of School of Freshmen is to explore many majors and to help students choose their major. However, studying all basic subject might make the students lose their interest. There are department briefing session which students can get information about the major. I think the department briefing session is more beneficial for students to choose their major.

   In conclusion, for these reasons, I think there are more disadvantages of system in School of Freshmen. So I would like to change the system about School of Freshmen. Having many department briefing sessions earlier might solve this problem."	5.0	4.5	4.0	13.5
1851	Do violent video games affect kids in a negative way? Give specific reasons and details to support your opinion. 	" My parent didn't bought me smartphone because they thought it is not helpful for studying. And because of this I was able to commuicate for much time with my family and friends. Like my case, smartphone usually destroy communication among people. I will show three reasons and details about it.
 First of all, using smartphone takes too much time. When we want to be closer with someone, we need to spend much time with them. It will be same with family and friends. However, smartphone takes that time because it has many interesting contents. This will lead to lack of time to spend together and chance to make good memories.  So, communication will be reduced by lack of reletionship. 
 Second, it is too easy to communicate by using smartphone. Messingers or SNS are one of the most important part of smartphone. Most of people think there are only advantages like easy to use or doesn't need much time. However this advantages can give some bad effects to us. Have you ever seen phonecall phobia in news? I was very surprised when I saw that word. Many young people are having that phobia because they always use messingers to communicate with someone. Like this, too much using smartphone for communicate is bad for good communication. 
 Lastly, using smartphone can distribute our emotional ability. It is easy to meet very bad contents in smartphone. Their mind can be hurt when people watch then too much. It means their real lifes get effects by contents they watched. In addition, their social skills will be come worse because of using smartphone. Because using smartphone is one-side-communication. They don't need to see other people's face or behavier. Like these, smartphone make people hard to think about other people's emotion well in real world.  
 I have talked about three main idea that why the smartphone is bad for communication. To sum up, communicate with people face to face is the most important one. I hope that people commincate well and spend good time with their friends and family,"	4.0	4.0	3.0	11.0
1193	What are the advantages of taking online courses in college? Give specific reasons and details to support your opinion.	"Because of the COVID-19, distancing in society started since last winter, and it led to online spring and summer semester. From elementary schools to colleges, all schools delayed starting spring semester, and some colleges including KAIST still restricting face to face lectures in school. Instead of typical face to face lectures, online lectures became issue. Some of experts analyzed that colleges will keep online courses in post-COVID19. Why? The reason is clear advantages of taking online courses.
	First at all, online courses are more comfortable to do non-active lectures. Except some lectures which require a lot of activities, online lectures are easy to meet each other. Because students can join classes at home or dormitories, they don’t have to prepare a backpack and hurry up to arrive before the class starts. That means online courses save students’ time. In addition, online lectures may increase communications between professors and students. Professors can see each student’s name and face clearly in Zoom, so students feel more comfortable when professors call their name. Professors are also able to see all the students, there will be no student who doesn’t get a chance to present or answer a question.
	Also, recorded videos of online courses are more efficient to study. Many students often sleep late because of lots of homework, so they are always tired. For these students, it is hard to concentrate for hours. They sometimes lose concentration and miss some important parts of a class. Then, in face to face lectures, students have to interrupt the flow of the lecture to ask a question, and professor should repeat the same part which other students already understood. This process usually repeats more than once in a class, and it is time waste. In the contrast, students can repeat the parts that they didn’t understand in video lectures, and ask only useful questions in online meeting. That means students can solve light questions themselves, and professor should answer for only few hard questions. Saving time is a great advantage to both students and professors.
	In conclusion, with taking online courses, it is more comfortable to do lectures, and recorded videos are more efficient to study. Online lectures save students’ time, increase communications between professors and students, and make lectures more efficient."	5.0	4.5	4.5	14.0
55	Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Which view do you agree with? Use specific reasons and examples to support your answer. 		3.5	3.5	3.5	10.5
340	Some universities require students to take classes in many subjects. Other universities require students to specialize in one subject. Which is better? Use specific reasons and examples to support your answer. 	"People grow up from diverse environments, and consequently they have different thoughts and ideas about arguments. There have been massive and fierce controversies about whether computers are helpful for our lives or not. Certainly, various opinions may exist. One side argues that computers have made life more complex and stressful. This is contradicted by the claim that disadvantages of computers much less than the advantages of those. In addition, when the development cause easily and the society more complex, people should adapt and changed their movements and reactons. If they should not change their situation, they will dissapear in the progressive world. However, in my opinion, there is no little doubt that computers have made life easier and more convenient for the following reasons.
 To begin with, computers led a development of technolgy. This is because computer can make people deliver the infromation for other people much more easily. It is evedient that it is comfortable to get and give informations compared with the the past without computers. In the past, if people want to search data, they ask and direct experience. Nowdays, it is easy to get search and read paper in the internet. In addition, the developments of technology make our lives more easily and improve the various academic terms like science, math and art. 
 On the top of that, computers give a chance for education. In fact, Africa and asia childern are hard and dangerous to go school, and  they can not achive to study. However, the social company like world vision, and Unichef give them to study. The imbalance of education is not problems for developing country. It can also occur in Korea. In the spring, COVID-19 virus happen and many peole restrict to movements. Furthurmore, the children must stay in home and study using online school classes. 
 Finally, Youtube and Google have tremendous media and vedio to give indrect experience. For instance, People who want to go outside and go abroad experience activity in home. If people want to get informations, they just search on goole and learn how to do. Moreover if you want to watch past drama, it is easy to wach you tube.
 To sum up, Some people claim that compuer makes our more complex. It is evident that society more complex beccause of increasing entropy in the view of nature science. The developments of tecchonogy, broad chance to education and indirect experiences is possible due to computers. In this regard, I belive that the computers have made life easier and more convienient."	3.5	4.0	4.0	11.5
1902	You have the opportunity to visit a foreign country for two weeks. Which country would you like to visit? Give specific reasons and details to support your opinion.	"There are many countries which I want to visit. But these days, visiting foreign countries is prohibited because of covid-19, so I couldn't visit a foreign country. If I have the opportunity to visit a foreign contry, I really want to visit U.S.A. There are several reason I want to visit there.
First, I have visited some foreign countries such as France, England, Italy, Germany, China, Taiwan, but I have never visited U.S.A. I want to go and see some famous landmarks in U.S.A. Two weeks are long time to travel a foreign country. There are many states in U.S.A and it is large to travel, so it is appropriate to visit for two weeks. And Temperature is one of the important condition to visit a foreign country. U.S.A's weather is similar with Korea, that is, U.S.A is not very hot or very cold so U.S.A is good to travel.
Second, I want to communicate with foreign people in English. I am not good at English speaking rather than reading or writing, listening. So I think visiting U.S.A can be great opportunity to develop my English speaking skills. Not only practicing English myself, but also talking with foreign people who use English would be very helpful to me. After I graduate the university, I want to study in a foreign country to get master or doctor degree. So increasing English speaking skills is necessary to me. 
Finally, I want to visit my friend's house. I have a friend who has lived in Los Angeles. He always said He will invite to his house when I visit U.S.A to me. So I promised that I will visit U.S.A later. If I visit U.S.A, I can meet my friend and I can sleep at my friend's house, then I can save some money. Also he can guide me to travel U.S.A because he knows U.S.A well.
In conclusion, I would like to visit U.S.A because I have never been to U.S.A and I want to communicate in English and I want to visit my friend's house. If the covid-19 disappears and I have the opportunity to visit other countries, I really want to go U.S.A. I hope I can visit U.S.A until next year."	4.0	4.0	3.0	11.0
328	Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion. 	"Despite a wide variety of interpretations and discussions, opinions about how computer changed our lives have not been narrowed down to one. Although some people think the computers have made our life more complex and stressful, I claim that computers have made life easier and more convenient.

Thanks to computers, we can use various data more easily. Computers has the large space to storage information, and it doesn't take to much space compare to the information in paper. if the computer had not been developed, people might have to work with the large amount of papers on the desk. Also, because the computer has better computation ability than people, we can assemble data fast and correctly to make the result that we want. 

Even in the case that computers are not used for the data work, computer made our lives more convenient. One example is the bank work. Through the past, until the computer has developed, people had to go to the bank themselves to save money, or send money, and etc. Because banks are the places that only run before the 6 p.m., going to the bank had made the schedule more complex. However, people can use the bank services by their own computer now. Therefore, people can modify their schedule more flexible.

These days, computer has been one of the must-have item and almost everyone has a personal computer now.  Although some people would feel stress due to the complex stages of the work made by the computers, it is obvious that computer has helped us working with data, and using time more efficiently."	3.5	4.0	4.0	11.5
103	Government: Should governments spend more money on improving roads and highways, or should governments spend more money on improving public transportation (buses, trains, subways)? Why? Use specific reasons and details to develop your essay.    	"Why Should Governments Spend More Money on Public Transportation

Until now, in Korea, many citizens use advanced public transportation anytime. Although many think that using public transportation is quite uncomfortable to transfer and physically hard, it has many individual and public advantages. In my opinion, governments should spend more money on improving public transportation for three reasons in different aspects: convenience, environment, and cost.
Nowadays, public transportation is widely used for a long distance like Seoul to Pusan. In this case, using public transportation is more convenient than cars, because people don’t need to concentrate on their driving and ride comfort is not bad. For example, some college students like KAIST students use trains a lot to go dormitory. If parents drive Seoul to Daejeon with their car, parents will get tired after their driving. Rather than using a car, if students use express bus or train, they can save a time and feel more comfortable. 
Second, public transportation is more eco-friendly than cars. If all citizens use their individual cars every day, a lot of carbon dioxide occurs in the air. This carbon dioxide would cause green gases which increase the temperature globally. However, if all of them use subways at once, it could save the clean air from air pollution. Furthermore, some transportations work by electric energy, so they don’t release any polluted gas. 
On the other hand, some argue that the public transportation is quite expensive. However, there are lots of events to discount the transportation expenses; for example, traveling with four friends in KTX can halve the KTX fee. Not only the transportations with a long distance, but also subways have some great discount system in Korea. If the user transfers to another subway track, it just cost a little additional pay to travel a long distance. Plus, car also pays a lot of money on oil charging, so using car is not much economically beneficial than public transportation.
In conclusion, spend more money on public transportation is much more beneficial than roads and highways. Some argue that it is financial damage, but its convenience, environmentally positive effect, and discount of cost cover all disadvantages with additional benefits. There will be more advanced public transportations created that many enjoy them to get in workplace or travel."	4.5	4.5	4.5	13.5
1208	Why do you think people travel? Give specific reasons and details to support your opinion.	"Because of the covid19, lots of people who contains me can't go on a trip now. We can find the people who want to go travel easily. Then why lots of people want to go on a travel? There are several reasons of that.
The first reason is travel can make people refresh. From now on, people are too tired because of living in fast-changing city. Lots of people are working in the high building and sitting down in front of their computer to do their work for all day long. However, when they go on a trip, they can feel the nature. For example, I went travel to Seolak mountain. While walking in the mountain, I could feel the smell of forest. It makes me feel better.
The second reason is travel is the best way to study about culture of other countries. There are several ways to study culture of other countries. Reading books, watching movies.... But I think the best way is travel. Because when we travel, we can meet lots of people of that country. While talking with them, we can know about them exactly. For instance, what they eating, watching.... Also, we can visit the museum. In the museum, there are lots of things about that country. The museum shows me the history of that country. And most of pieces in the museum can make the foreign people feel wonderful. I heard that lots of foreign people who visited Korea say ""Gyeongbokgung is really beautiful castle!"". It can make good image of that country to foreign people.
The last reason is traveling can make people who went on a trip together more friendly. Most of people go on a trip with their close friend, family. However, even though they were really closed before start the trip, lots of people are fighting in travel place. It means that during traveling with other people has lots of hard things. But by the trip, they can understand each other more and know that they thought only themselves' convenience. I went on a trip in vacation with my friends. During the travel, there are lots of accidents so we were too tired, so we made a small fight with each other. But thinking about that fight later, all of us feel sorry to other people. So that travel made us more clever for understanding other people and getting really close friends.
Traveling can make people refresh, know other countries' culture, close friends. Even though traveling is tired, the happiness that traveling gives to the travelers is much bigger than tired. I hope to go on a trip soon, too."	5.0	4.5	4.0	13.5
278	Some high schools require all students to wear school uniforms. Other high schools permit students to decide what to wear to school. Which of these two school policies do you think is better? Use specific reasons and examples to support your opinion.		4.0	3.5	3.5	11.0
2202	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"What I want to change most in my university, the chance of meeting many people
   After graduating the high school, most of students in Korea go to university to improve their abilities. Therefore, the mean of the university for them is as important as the high school, so there are lots of important things in university. I think it also takes me too. There are many important things in my university, but I also think some are weak compare to other universities. Among them, I strongly think the chance to meeting many people is poor than others. I want to change this, so I explain this for several reasons.
   First of all, the width of experience can be increasing. The experience of meeting many people means we can experience a lot of events. For example, when we enjoy the university festivals, not only our university's students come, but also many different kinds of people would join in. In addition to this example, there are lots of events that enable us to experience, but I think these are poor in our university.
  Secondly, we can meet the important people for our life by this. When students meet many different kinds of people, they can also meet some people who are perfectly suitable for them. For instance, when they are preparing a project with other university students, they can be good friends by working together. I also think this oppertunity is not enough than other universities.
  Lastly, students can enjoy their life of being university students. By meeting many other people, they can solve their stress, talk about their problems and playing games. There are lots of tired things to univerisity students, but they can relieve it by playing lots of things with others. Therefore, it is also a good point of when the chance of meeting many people is enough.
  Like this, there are lots of positive points when univerisity students meet many other people , but I think it is not enough to my university. Therefore, I want my university change it sequently."	4.5	4.5	4.0	13.0
