id	prompt	essay	content	organization	language	total
212	Is it better to enjoy your money when you earn it or is it better to save your money for some time in the future? Use specific reasons and examples to support your opinion.		3.5	4.0	3.5	11.0
483	University: Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Which view do you agree with? Use specific reasons and examples to support your answer. 	"Free Education
          Many students want to enter better college to take better education. Many students in good universities are satisfied because their college have high-quality education, but students in low universities are dissatisfied because the quality of their classes is not good. Although some people think that higher education should be given only to good students, making education available to all students is better.
          First of all, education inequality will decrease. Some students have a hard time to study because of their family or money. If the change of education is given only good students, these poor students will not get knowledge and education inequality will increase. However, if higher education become available for every students, student can learn regardless of their situation.
          In addition to knowledge, better education make world better. Since the quality of lecture is depend on professor, academic performance can be effected by the quality of lecture. If students can study with well-made lecture, their performance will increase; as a result, a society will be improved.
          Some argue that education should be available only to good students because they study hard to enter the university. However, the essence of university is to explore the truth. Therefore, if someone want to explore the truth, university should welcome them. 
          To sum up, the change of education should be given to all students. Since the knowledge is not belong to someone, every students should be guaranteed the right to learn. Also, if education is given to every students, inequality will decrease and the world become better. Therefore, university should provide education for all students."	4.0	4.0	3.5	11.5
1310	If you could change one important thing about your country, what would you change? Give specific reasons and details to support your opinion.	"  Thesedays, Korea's air quality get worse because of dust. If I could change one important thing about my country, South Korea, I would change air quality of Korea. There is two reason to support my opinion.

  First, the people's health improves. Air condition can affect very much to the health. Dust cause many lung dieases and skin trouble. 

  Second, outdoor activities are restricted. If there are too much dust in the air, people should wear mask in outside. Also, they canno"	2.0	2.5	2.0	6.5
1361	In your opinion, what are the qualities of a good friend? Give specific reasons and details to support your opinion.	" People are needing friends. A famous society said that humanity is so society animal so we can't live alone. All of people want to make great friends. I'm also belonging here. Then, What is the qualities of a good friend. Now, let me introduce my opinion about this topic. 

 I think that there're three things to be a good frind. First, kindness is important quality of a good friend. Let's think about one situation. One day, you're in school at rainy day. However, you don't bring an umbrella. This is so sad and common situation, isn't it? You tries to go home so tell your situation to your friend. If your freind is not kind enough to use his(her) umbrella with you, he ignore you and just go alone. But if your friend is kind enough, you can go home without wet. This is trivial but common example about kind friend. However, if your friend isn't kind enough to use his umbrella, you can't go home without wet. Furthermore, you may have a cold and can't go school the next day. That situation is trivial thing but it may go bad. Thus, kindness is important and why kindness can be a quality of a good friend.

 Second, fun friend is important to play anything. All people may have an experience to play with their friends. If there aren't fun friend, the mood among the friends and you may go to cold. Then, you think that if there're fun friend, we can play more and more fun. and if you have some bad thing, the fun friend can make you happy. Ofcourse, It can't be a good friend who is fun but do not think your mind and behave just he(her) want. This is not healthy relationship and in the future, you and your fun friend's relationship may go bad in high percentage. 

  Finally, sensitive friend is nessesary through your life. If you have bad thing like fighting with you parents, this friend can be a good counseller. With them you can be more mature and can learn their considerable things through their behavior. This is good friend also. 

 These are three qualities of a good friend that I think. Every people want to make good and best friend. However, most of them don't see back theirselves. I want to say some sentence and end of this writing. To make good friends which I said, you should be a good friend first. Thank you for reading my opinion and I'll end this writing here.     "	3.5	4.0	2.5	10.0
30	University:Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Which view do you agree with? Use specific reasons and examples to support your answer.             	"I believe that a college or university education should be available to all students. There are several reasons that support my view. First, I think that there is no proper way to select ""good"" students. Some students, who have enough money, are already available with great education while others don't. Therefore, evaluating students to give a higher education itself would be unfair. Students who already can get high-quality education will easily pass the exam for evaluation. Secondly, higher education have to be provided to students who WANT to study more, not to students who are GOOD at studying. Everyone has the right to learn what they want to learn. It makes a much larger possible choices for people to select a right job. That diversity helps to form a creative and happy society. Some people may say that giving an lecture or providing various resources requires too much money to be available to all students. They insist that it is simply not effective. However, I think that the cost can be reduced by recording lecture video and provide it or just encourage students collaborate on studying. I also think that the social benefits that comes after good education are much greater than the cost. Everyone has the right to learn to make their lives better. Society have to support members to study and select a job that they really want. Therefore, it is essential that higher education can be accessible to all people."	4.0	3.5	3.5	11.0
2076	What is a good hobby for college students? Give specific reasons and details to support your opinion.	"Hello. Guys. Do you have any hobbies? I think someone has lots of hobbies and someone has no hobbies. To have hoobies is your mind but, if you don't have hobbies I recommend to make your hobby. Today, I'm going to talk about hobbies for college students, why am I recommend to have a hobby and what  hobby ia a good for you.
     To have your own hobby has many adventages. I think many high school students of Korean have no hobbies because of study. So I understand you who is freshman in Korean college have no hobbies. but, I think you experience a situation that you study all day. At that time, you may be tired, stressful, and hate study. So you should have some hobbies to relax and reduce stresses. Also, hobbies may make your another dreams or new friends through hobbies activity. For these reasons I think there are no reasons not to have hobbies.
     Then what hobbies is a good choice for college students. The best Choice is having club about you like. Because, if you have club, you can make new friends and enjoy activities steadily with your friends. Among lots of clubs, sports clubs is the best best choice. If you have sports club, there are so many adventsges including before I talked. You can make your hobbies to play sports, exercise makes you more healthy, and you can enjoy and learn sports that you like . So, To enter sports club means that you have hobbies and you can be more healthy. I recommend to have sports club.
     If you have another interseting like music, dancing orsomething , clubs about it is also a good choice.  But although you don't have thought about sports, because of reasons I talked How about apply sports club?"	1.5	2.0	1.0	4.5
1573	If you could change one important thing about your country, what would you change? Give specific reasons and details to support your opinion.	"Many people has their own country. It is so variable even some people came from other country. each country has different things in culture and geological. So, many people has different view and has opinion about important one things what they want country to change So, I want to introduce just one thing  what I want country to change in following reasons. It is a bully in Korean students. My country, South korea should not have bully in student society. 

 First, For almost students, school is their biggest society. Students in Korea have to go school in everyday except weekend. For instance, if one student jiho bully other student juno, juno's society will destroy by physical and language violence of jiho. It is not fair to juno and other students.

 Second, Being Bullied cause PTSD to one or more students. If one person got bullied in neiborhood, a chance of that person to grow to mental-healty adult will decrease because he will have negative behavor for everything.

 Thesedays, many witnesses of bully disclose what happend in school about the enterteinment world.It will be goodflow for our society. So, If i could change one important thing about my coutry Korea, what I want is  disappearing of bully."	3.0	2.5	2.5	8.0
189	Some prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer. 	"There are two types of students about their study : students who study alone and who study with a group of students. It depends on each one's preference, but i think studying alone is better in terms of concentration, efficiency, and internalization.

           First of all, you can concentrate better in studying alone than group studying. While studying alone, you can care only contents and your comprehensions.

But in a group studying, interacting with other students is not avoidable, so you are supposed to care about things that are not related your learning : chatting with others, checking other's comprehension about contents. This disturbs you to concentrate and leads to low learning efficiency than studying alone.

          Secondly, you have to notice an importance of studying alone, not together. To master the contents or subjects, you firstly have to hear a basic explanation about them, secondly, have a time to understand and practice on your own.  The first step can be carried in many ways : asking a teacher, googling. But the second step is an internalizing step for you, so it can be carried only by studying alone that contains your own thoughts, comprehension. The group studying can not do this. 

It is just a repeat of the first step with other students.

         So far, I have talked about the reasons I insist studying alone is a better way compared to the group studying. Studying alone can bring you a better grade and deeper comprehension with better concentration and internalization that the group studying does not have."	3.0	3.0	3.5	9.5
1702	Do you think that smartphones have destroyed communication among family and friends? Give specific reasons and details to support your opinion. 	" Many people have smartphone these day. Because of that, we can talk to each other whenever and wherever we are. Before, we didn't talk to each other because there wasn't a way to do. I think that smartphones are helping communication for three reasons.
 First, we can communicate wherever and whenever it is. Smartphone made it able to communicate even though it is far apart. If we can access to the internet the location doesn't matter. Also, we can talk to each other even in the early morning and in the midnight.
 Second, it is easier to make some new friends. Before, we needed to meet each other to get closer. Now, we can talk online and make new friends. For example, I made new friends few weeks before going to high school by online.
 Lastly, it is able to see the conversation that had before. Because it is hard to remember everything we talked about, sometimes I forget about what we talked before.
  In conclusion, smartphones are making communication easier than before. It is able to communicate wherever and whenever it is. Also, it is easier to make new friends. Because of smartphone, it is able to see the previous conversations. For the three reasons above, I think that smartphone helped communication among friends and family. "	4.0	3.5	3.5	11.0
1085	Lifetstyle: Some people think that the family is the most important influence on young adults. Other people think that friends are the most important influence on young adults. Which view do you agree with? Use examples to support your position.	"Benefits of Getting Up Early
     Throughout history, work-week has been shortened from 7 days to 5 days. Even in a day, employers have reduced working hours to 8-9 hours. With this shortened schedule, there are two types of workers. Some say getting up early and finish early in the evening is better while others say getting up later and working until late at night is better. In my opinion, getting up early has several benefits. 
     First of all, schedule of society is fixed to day workers. In school, students must attend at 9 a.m, so waking up late is impossible. Likewise, company usually fixed their schedule from 9 to 6, so night workers will substituted with day workers if they try to follow their own schedule. Moreover infrastructures such as transportation and shopping stores stop their operation in late night. Night workers cannot use them after finishing work.
     In addition to main schedule of society, getting up early is good for physical health. Usually, night workers skip dinners or eat foods with low nutrition, while day workers eat healthy foods 3 times a day. It makes them healthier. For example, day workers eat at restaurant in company, and night workers eat foods from delivery stores.
     Some argue that there are night workers who are suitable for getting up late, for it makes them more productive. Although companies like start-ups shift their work hours to match the individual life rhythm, this new phenomenon is not widely adapted yet. Before this culture is settled, day workers will have high productivity than night workers who work in companies which have usual fixed schedule.
     To sum up, day workers have several advantages. They matched with main schedule of society which is 9 to 6, and have healthy foods. Despite of efforts to free the individual schedule, it is not widely spread. Until working hours become elastic, getting up early is better strategy than night working."	4.5	4.5	4.5	
603	Some people think that the family is the most important influence on young adults. Other people think that friends are the most important influence on young adults. Which view do you agree with? Use examples to support your position.	"  As modern young grown-ups are communicating with various people including not only family but also friends, opinions whether the former has the most important influence on young adults or the latter does are divided into two groups. Even though some people state that the family is the most important influence on young adults, friends are the most important influence on young adults.
  Above of all, young people are more likely to interact with their friends than family. Since most of them are university students, they may usually  stand on their own; that is, they live apart from their family. Rather, they are prone to get along with their friends. For example, a large number of KAIST students who dwell in dormitories join clubs, which offer a variety of activities with their friends. I heard that some of them eventually establish a start-up, but there are few companies founded with one's family.
  Next, friends may have similar points of view. According to a research conducted by numerous psychologists, groups of people consisted of members who had spent their young ages in similar era are inclined to share common points of view. Therefore, young grown-ups can easily share their ideas and feel a kind of sympathy with their friends.
  Meanwhile, some people insist that the family have a great impact on young adults, based on the amount of time that young people had spent with family. However, adults make their own way by experiencing various events and conducting several roles in our society with friends. In other words, the time spent with family does not ultimately determine one's points of view.
  For the reasons suggested above, young adults are mainly affected by their friends than their family. Thus, try to interact with a number of good friends as many as possible."	4.0	4.0	4.0	12.0
57	Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Which view do you agree with? Use specific reasons and examples to support your answer. 		3.0	3.0	3.5	9.5
648	Univeristy: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer. ?  	"There are many argument that it is good to do easy work or not. Some people think that doing only what they already do well is good because it doesn't require any effort. On the otherhand, Many people believe it is great to do something risky because they can get some worthy experiment. Although there are many benefits when we do easy things,   I think it has more good affect to me to do something unfamiliar.

 First and most important reason for it is that we can not do what we have done everytime. When we go to high school, everything we have to learn is alway newthings. Also at universty, we have to learn more deep theory and have to do some unfamiliar things. We just have to adapt to something new everytime, everywhere. 

 By doing some new things, we can experience many things that we haven't had yet. For example, I was afraid to do some research program because I haven't done it before. But I tried to work hard and I could learn many research skills such as manual of reading cylinders and skills of writing reports. Also, by doing some chemistry research project, I could make a decision to go to science highschool. If I had not done some experiment when I was young, I couldn't have gone to this university, KAIST. 

 As we get more experience of new works, we will have more confidence of trying. This ""trying"" can change someone's life. So, I recommend my friend to do something new. I want to say people who worry about 
 trying ;  ""Don't hesitate to do something unfamiliar. It can change your life."""	2.5	2.5	2.5	7.5
