id,generous_model,harsh_model,baseline_grade,initial_generous_grade,initial_harsh_grade,final_generous_grade,final_harsh_grade,consensus_grade,actual_grade_0_15,actual_grade_0_100,rounds_used,converged,grade_difference,initial_swap_needed,total_warnings,total_swaps,big_jumps_generous,big_jumps_harsh,small_changes_generous,small_changes_harsh,medium_changes_generous,medium_changes_harsh,no_change_generous,no_change_harsh,total_grade_movement_generous,total_grade_movement_harsh,max_grade_movement_generous,max_grade_movement_harsh,min_grade_movement_generous,min_grade_movement_harsh,avg_grade_movement_generous,avg_grade_movement_harsh,initial_grade_gap,final_grade_gap,total_grade_gap_reduction,efficiency_score,stubbornness_score,volatility_score,generous_bias,harsh_bias,consensus_bias,baseline_bias
2247,GROK,GROK,79,75,40,60,58,59,10.5,70.0,6,True,2,False,0,0,0,0,5,5,0,0,0,0,15,18,5,5,1,1,2.5,3.0,35,2,33,5.5,0.0,0.0,5.0,-30.0,-11.0,9.0
2247,MISTRAL,MISTRAL,75,87,58,79,76,78,10.5,70.0,7,True,3,False,0,0,0,0,6,6,0,0,0,0,8,18,2,4,1,2,1.1428571428571428,2.571428571428572,29,3,26,3.7142857142857135,0.0,0.0,17.0,-12.0,8.0,5.0
2247,COMMAND,COMMAND,84,67,50,65,65,65,10.5,70.0,3,True,0,False,0,0,0,0,1,1,0,1,1,0,2,15,2,10,2,5,0.6666666666666666,5.0,17,0,17,5.666666666666667,0.1666666666666666,0.0,-3.0,-20.0,-5.0,14.0
2247,GEMMA,GEMMA,81,78,58,73,72,72,10.5,70.0,5,True,1,False,0,0,0,0,4,4,0,0,0,0,5,14,2,5,1,2,1.0,2.8,20,1,19,3.8,0.0,0.0,8.0,-12.0,2.0,11.0
1751,CHATGPT,CHATGPT,73,73,46,68,67,68,10.0,66.7,5,True,1,False,0,0,0,0,4,3,0,1,0,0,5,21,2,10,1,2,1.0,4.2,27,1,26,5.2,0.0,0.0,6.299999999999997,-20.700000000000003,1.2999999999999972,6.299999999999997
1751,CLAUDE,CLAUDE,65,76,32,42,42,42,10.0,66.7,5,True,0,False,1,1,1,0,3,2,0,2,0,0,48,24,40,10,2,4,9.6,4.8,44,0,44,8.8,0.0,0.1,9.299999999999995,-34.7,-24.700000000000003,-1.7000000000000028
1751,QWEN,QWEN,70,85,35,72,70,71,10.0,66.7,7,True,2,False,0,0,0,0,6,2,0,4,0,0,13,35,5,10,1,2,1.8571428571428568,5.0,50,2,48,6.857142857142857,0.0,0.0,18.3,-31.700000000000003,4.299999999999997,3.299999999999997
1751,GROK,GROK,76,75,48,63,60,62,10.0,66.7,5,True,3,False,0,0,0,0,4,3,0,1,0,0,12,12,3,7,3,1,2.4,2.4,27,3,24,4.8,0.0,0.0,8.299999999999997,-18.700000000000003,-4.700000000000003,9.299999999999995
1751,MISTRAL,MISTRAL,73,87,58,79,77,78,10.0,66.7,8,True,2,False,0,0,0,0,7,8,0,0,1,0,8,19,2,4,1,1,1.0,2.375,29,2,27,3.375,0.0625,0.0,20.3,-8.700000000000003,11.299999999999995,6.299999999999997
1751,COMMAND,COMMAND,77,78,65,75,74,74,10.0,66.7,3,True,1,False,1,1,0,0,2,2,0,0,0,0,4,10,3,5,1,5,1.3333333333333333,3.333333333333333,13,1,12,4.0,0.0,0.0,11.299999999999995,-1.7000000000000028,7.299999999999997,10.299999999999995
1751,GEMMA,GEMMA,73,78,52,73,70,72,10.0,66.7,5,True,3,False,0,0,0,0,4,3,0,1,0,0,5,18,2,6,1,2,1.0,3.6,26,3,23,4.6,0.0,0.0,11.299999999999995,-14.700000000000005,5.299999999999997,6.299999999999997
351,CHATGPT,CHATGPT,74,58,32,51,50,50,12.0,80.0,4,True,1,False,0,0,0,0,3,1,0,2,0,0,7,18,3,8,1,2,1.75,4.5,26,1,25,6.25,0.0,0.0,-22.0,-48.0,-30.0,-6.0
351,CLAUDE,CLAUDE,71,35,15,20,12,16,12.0,80.0,8,False,8,False,2,2,1,0,7,2,0,2,0,4,40,22,23,8,2,3,5.0,2.75,20,8,12,1.5,0.25,0.0625,-45.0,-65.0,-64.0,-9.0
351,QWEN,QWEN,84,72,0,53,48,50,12.0,80.0,8,False,5,False,0,0,0,1,8,6,0,1,0,0,19,48,4,15,1,3,2.375,6.0,72,5,67,8.375,0.0,0.0625,-8.0,-80.0,-30.0,4.0
351,GROK,GROK,69,70,10,42,41,42,12.0,80.0,6,True,1,False,0,0,0,0,4,3,1,2,0,0,28,31,10,10,3,1,4.666666666666667,5.166666666666667,60,1,59,9.833333333333334,0.0,0.0,-10.0,-70.0,-38.0,-11.0
351,MISTRAL,MISTRAL,71,85,30,74,70,72,12.0,80.0,8,False,4,False,0,0,0,1,7,5,0,2,1,0,11,40,3,15,1,1,1.375,5.0,55,4,51,6.375,0.0625,0.0625,5.0,-50.0,-8.0,-9.0
351,COMMAND,COMMAND,84,65,30,70,69,70,12.0,80.0,5,True,1,False,2,2,0,1,3,1,0,2,1,0,5,49,2,30,1,1,1.0,9.8,35,1,34,6.8,0.1,0.1,-15.0,-50.0,-10.0,4.0
351,GEMMA,GEMMA,65,78,52,71,69,70,12.0,80.0,6,True,2,False,0,0,0,0,5,4,0,1,0,0,7,17,2,6,1,1,1.1666666666666667,2.833333333333333,26,2,24,4.0,0.0,0.0,-2.0,-28.0,-10.0,-15.0
1808,CHATGPT,CHATGPT,79,68,45,65,64,64,9.5,63.3,3,True,1,False,1,1,0,1,2,1,0,0,0,0,4,20,2,17,2,3,1.3333333333333333,6.666666666666667,23,1,22,7.333333333333333,0.0,0.1666666666666666,4.700000000000003,-18.3,0.7000000000000028,15.700000000000005
1808,CLAUDE,CLAUDE,65,72,28,42,42,42,9.5,63.3,7,True,0,False,0,0,1,0,5,2,0,1,0,3,30,14,21,7,1,3,4.285714285714286,2.0,44,0,44,6.285714285714286,0.2142857142857142,0.0714285714285714,8.700000000000003,-35.3,-21.3,1.7000000000000028
1808,QWEN,QWEN,65,85,42,75,74,74,9.5,63.3,7,True,1,False,0,0,0,1,6,4,0,1,0,0,10,32,2,16,1,2,1.4285714285714286,4.571428571428571,43,1,42,6.0,0.0,0.0714285714285714,21.700000000000003,-21.3,10.700000000000005,1.7000000000000028
1808,GROK,GROK,76,75,45,63,61,62,9.5,63.3,4,True,2,False,0,0,0,0,3,2,0,1,0,0,12,16,5,10,2,1,3.0,4.0,30,2,28,7.0,0.0,0.0,11.700000000000005,-18.3,-1.2999999999999972,12.700000000000005
1808,MISTRAL,MISTRAL,79,85,52,75,72,74,9.5,63.3,8,True,3,False,0,0,0,0,8,8,0,0,0,0,10,20,2,4,1,1,1.25,2.5,33,3,30,3.75,0.0,0.0,21.700000000000003,-11.299999999999995,10.700000000000005,15.700000000000005
1808,COMMAND,COMMAND,66,65,41,65,63,64,9.5,63.3,4,True,2,False,1,1,0,0,1,1,0,2,2,0,2,24,2,14,2,3,0.5,6.0,24,2,22,5.5,0.25,0.0,1.7000000000000028,-22.3,0.7000000000000028,2.700000000000003
1808,GEMMA,GEMMA,78,78,58,73,72,72,9.5,63.3,5,True,1,False,0,0,0,0,4,4,0,0,0,0,5,14,2,5,1,2,1.0,2.8,20,1,19,3.8,0.0,0.0,14.700000000000005,-5.299999999999997,8.700000000000003,14.700000000000005
669,CHATGPT,CHATGPT,79,74,50,71,68,70,9.5,63.3,3,True,3,False,0,0,0,0,2,1,0,1,0,0,3,18,2,13,1,5,1.0,6.0,24,3,21,7.0,0.0,0.0,10.700000000000005,-13.299999999999995,6.700000000000003,15.700000000000005
669,CLAUDE,CLAUDE,87,76,45,52,52,52,9.5,63.3,5,True,0,False,1,1,1,0,3,3,0,1,0,0,34,17,27,7,2,3,6.8,3.4,31,0,31,6.2,0.0,0.1,12.700000000000005,-18.3,-11.299999999999995,23.700000000000003
669,QWEN,QWEN,94,87,52,76,75,76,9.5,63.3,7,True,1,False,0,0,0,0,6,5,0,1,0,0,11,23,2,8,1,2,1.5714285714285714,3.2857142857142856,35,1,34,4.857142857142857,0.0,0.0,23.700000000000003,-11.299999999999995,12.700000000000005,30.700000000000003
669,GROK,GROK,89,85,55,68,67,68,9.5,63.3,5,True,1,False,0,0,0,0,4,4,0,0,0,0,17,12,5,5,2,1,3.4,2.4,30,1,29,5.8,0.0,0.0,21.700000000000003,-8.299999999999997,4.700000000000003,25.700000000000003
669,MISTRAL,MISTRAL,95,88,68,83,80,82,9.5,63.3,6,True,3,False,0,0,0,0,4,4,0,0,1,1,5,12,2,4,1,2,0.8333333333333334,2.0,20,3,17,2.833333333333333,0.1666666666666666,0.0,24.700000000000003,4.700000000000003,18.700000000000003,31.700000000000003
669,COMMAND,COMMAND,88,78,72,78,76,77,9.5,63.3,2,True,2,False,1,1,0,0,1,0,0,1,0,0,2,6,2,6,2,6,1.0,3.0,6,2,4,2.0,0.0,0.0,14.700000000000005,8.700000000000003,13.700000000000005,24.700000000000003
669,GEMMA,GEMMA,84,85,62,78,76,77,9.5,63.3,5,True,2,False,0,0,0,0,4,3,0,1,0,0,7,14,2,6,1,1,1.4,2.8,23,2,21,4.2,0.0,0.0,21.700000000000003,-1.2999999999999972,13.700000000000005,20.700000000000003
441,CHATGPT,CHATGPT,76,76,58,70,69,70,13.0,86.7,3,True,1,False,0,0,0,0,2,1,0,1,0,0,6,11,4,7,2,4,2.0,3.6666666666666665,18,1,17,5.666666666666667,0.0,0.0,-10.700000000000005,-28.700000000000003,-16.700000000000003,-10.700000000000005
441,CLAUDE,CLAUDE,93,78,32,67,65,66,13.0,86.7,8,True,2,False,1,1,0,0,6,3,0,4,1,0,13,35,3,7,2,2,1.625,4.375,46,2,44,5.5,0.0625,0.0,-8.700000000000003,-54.7,-20.700000000000003,6.299999999999997
441,QWEN,QWEN,95,87,58,78,77,78,13.0,86.7,6,True,1,False,0,0,0,0,5,4,0,1,0,0,9,19,2,6,1,2,1.5,3.1666666666666665,29,1,28,4.666666666666667,0.0,0.0,0.2999999999999971,-28.700000000000003,-8.700000000000003,8.299999999999997
441,GROK,GROK,83,78,55,68,67,68,13.0,86.7,6,True,1,False,0,0,0,0,5,5,0,0,0,0,10,12,2,4,2,1,1.6666666666666667,2.0,23,1,22,3.6666666666666665,0.0,0.0,-8.700000000000003,-31.700000000000003,-18.700000000000003,-3.700000000000003
441,MISTRAL,MISTRAL,81,70,68,70,68,69,13.0,86.7,1,True,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,-16.700000000000003,-18.700000000000003,-17.700000000000003,-5.700000000000003
441,COMMAND,COMMAND,82,75,65,70,67,68,13.0,86.7,2,True,3,False,0,0,0,0,1,1,0,0,0,0,5,2,5,2,5,2,2.5,1.0,10,3,7,3.5,0.0,0.0,-11.700000000000005,-21.700000000000003,-18.700000000000003,-4.700000000000003
441,GEMMA,GEMMA,93,78,62,74,72,73,13.0,86.7,4,True,2,False,0,0,0,0,3,2,0,1,0,0,4,10,2,6,1,2,1.0,2.5,16,2,14,3.5,0.0,0.0,-8.700000000000003,-24.700000000000003,-13.700000000000005,6.299999999999997
1284,CHATGPT,CHATGPT,56,72,56,66,65,66,11.0,73.3,3,True,1,False,0,0,0,0,2,1,0,1,0,0,6,9,4,7,2,2,2.0,3.0,16,1,15,5.0,0.0,0.0,-1.2999999999999972,-17.299999999999997,-7.299999999999997,-17.299999999999997
1284,CLAUDE,CLAUDE,58,72,32,58,2,30,11.0,73.3,8,False,56,False,1,1,1,0,7,7,0,1,0,0,70,26,59,6,1,2,8.75,3.25,40,56,-16,-2.0,0.0,0.0625,-1.2999999999999972,-41.3,-43.3,-15.299999999999995
1284,QWEN,QWEN,54,87,35,74,72,73,11.0,73.3,8,True,2,False,0,0,0,0,7,3,0,4,0,0,13,37,3,10,1,2,1.625,4.625,52,2,50,6.25,0.0,0.0,13.700000000000005,-38.3,-0.2999999999999971,-19.3
1284,GROK,GROK,70,78,50,68,67,68,11.0,73.3,6,True,1,False,0,0,0,0,5,5,0,0,0,0,10,17,3,5,1,1,1.6666666666666667,2.833333333333333,28,1,27,4.5,0.0,0.0,4.700000000000003,-23.3,-5.299999999999997,-3.299999999999997
1284,MISTRAL,MISTRAL,62,87,52,79,76,78,11.0,73.3,8,True,3,False,0,0,0,0,7,6,0,1,0,0,8,24,2,8,1,1,1.0,3.0,35,3,32,4.0,0.0,0.0,13.700000000000005,-21.3,4.700000000000003,-11.299999999999995
1284,COMMAND,COMMAND,63,65,50,67,64,66,11.0,73.3,3,True,3,False,1,1,0,0,1,0,0,2,1,0,1,17,1,10,1,7,0.3333333333333333,5.666666666666667,15,3,12,4.0,0.1666666666666666,0.0,-8.299999999999997,-23.3,-7.299999999999997,-10.299999999999995
1284,GEMMA,GEMMA,57,78,52,73,70,72,11.0,73.3,5,True,3,False,0,0,0,0,4,3,0,1,0,0,5,18,2,6,1,2,1.0,3.6,26,3,23,4.6,0.0,0.0,4.700000000000003,-21.3,-1.2999999999999972,-16.299999999999997
483,CHATGPT,CHATGPT,74,70,50,66,64,65,11.5,76.7,3,True,2,False,0,0,0,0,2,1,0,1,0,0,4,14,3,10,1,4,1.3333333333333333,4.666666666666667,20,2,18,6.0,0.0,0.0,-6.700000000000003,-26.700000000000003,-11.700000000000005,-2.700000000000003
483,CLAUDE,CLAUDE,68,78,42,52,52,52,11.5,76.7,5,True,0,False,0,0,1,0,3,1,0,1,0,2,26,10,17,6,3,4,5.2,2.0,36,0,36,7.2,0.2,0.1,1.2999999999999972,-34.7,-24.700000000000003,-8.700000000000003
483,QWEN,QWEN,67,85,45,72,72,72,11.5,76.7,6,True,0,False,0,0,0,0,5,2,0,3,0,0,13,27,5,10,2,2,2.1666666666666665,4.5,40,0,40,6.666666666666667,0.0,0.0,8.299999999999997,-31.700000000000003,-4.700000000000003,-9.700000000000005
483,GROK,GROK,74,75,55,68,65,66,11.5,76.7,6,True,3,False,0,0,0,0,5,5,0,0,0,0,7,10,3,5,1,1,1.1666666666666667,1.6666666666666667,20,3,17,2.833333333333333,0.0,0.0,-1.7000000000000028,-21.700000000000003,-10.700000000000005,-2.700000000000003
483,MISTRAL,MISTRAL,68,88,55,79,76,78,11.5,76.7,8,True,3,False,0,0,0,0,8,7,0,1,0,0,9,21,2,7,1,1,1.125,2.625,33,3,30,3.75,0.0,0.0,11.299999999999995,-21.700000000000003,1.2999999999999972,-8.700000000000003
483,COMMAND,COMMAND,72,75,65,70,68,69,11.5,76.7,2,True,2,False,1,1,0,0,0,1,1,0,0,0,7,5,7,5,7,5,3.5,2.5,10,2,8,4.0,0.0,0.0,-1.7000000000000028,-11.700000000000005,-7.700000000000003,-4.700000000000003
483,GEMMA,GEMMA,84,78,58,73,72,72,11.5,76.7,5,True,1,False,0,0,0,0,4,4,0,0,0,0,5,14,2,5,1,2,1.0,2.8,20,1,19,3.8,0.0,0.0,1.2999999999999972,-18.700000000000003,-4.700000000000003,7.299999999999997
1310,CHATGPT,CHATGPT,30,64,49,63,60,62,6.5,43.3,2,True,3,False,0,0,0,0,1,0,0,1,0,0,1,11,1,11,1,11,0.5,5.5,15,3,12,6.0,0.0,0.0,20.700000000000003,5.700000000000003,18.700000000000003,-13.299999999999995
