id,llm,baseline_grade,final_grade,actual_grade,final_flesch_kincaid,final_dale_chall,iterations_used,core_concept,final_explanation
1737,CLAUDE,7.0,7.0,13.0,3.72,15.19,5,"The main argument is that KAIST should increase the number of available P.E. classes or provide alternative ways to fulfill the P.E. graduation requirement, because the current shortage of P.E. classes delays graduation and makes course scheduling difficult for students.","**The Crying Kids**

You know when you cry because you want something?

Some big kids are crying too!

**What Happened**

The big kids want something special.

But... it's not there!

Like when your toy is broken. You cry!

The big kids are crying because they can't have their special thing.

**They Want Help**

The big kids say: ""Waaaah! Help me!""

Just like when you cry and want Mommy!

**Make Happy**

Mommy and Daddy need to help the big kids.

Then the big kids will stop crying.

Then everyone is happy!

Yay!

*[Uses very simple words, very short sentences, focuses on crying/happy emotions, uses immediate comparisons to broken toys, and includes sound effects and exclamations that very young children relate to]*"
1737,GEMINI,8.0,9.0,13.0,2.49,13.31,4,The core concept is that the insufficient availability of P.E. classes at KAIST creates significant graduation hurdles and scheduling difficulties for students. The author argues for increasing P.E. course offerings or allowing military service to fulfill the P.E. requirement.,"Imagine our school! It's a fun place where we play and learn.

We love to run and jump outside! It helps our bodies grow strong. We call this ""playtime""!

But uh-oh! Sometimes, there are **not enough turns** for everyone to run and play. It's like having only one slide, and *all* your friends want to slide at the same time! It's hard to wait.

When kids don't get enough turns to run and play, it can make them feel a little **squirmy** or not so happy at school. It's hard to learn when you really want to run around!

So, a **nice grown-up** who cares about kids says, ""Hey! This isn't fair! We need to help!"" They think our school should:

1.  **Have more times for kids to run and play outside!** So everyone gets a turn and no one waits too long.
2.  **Or**, they have another idea: if some kids go to a **special place where they run and jump a lot**, like being a little dancer or a super-fast runner! The grown-up thinks **all that fun running and jumping should be like their school playtime too!**

They just want to make sure all kids can **run and wiggle their bodies** and still **feel happy at school**!"
1447,CHATGPT,9.0,9.0,13.5,1.68,13.16,3,"KAIST should relocate from Daejeon to Seoul. The author argues this would create more job opportunities, enable easier collaboration with other universities, and attract more high-school students to enroll.","KAIST is a big school. It sits in Daejeon. Some people think, “Move KAIST to Seoul.”

If KAIST goes to Seoul, more grown-ups can work there. It could be easier to visit friends. But people would miss Daejeon, their home. Some kids and teachers would have to go far.

It’s a big decision."
1447,CLAUDE,8.0,8.0,13.5,2.01,13.48,4,"The essay argues that KAIST university should relocate from Daejeon to Seoul because this move would provide better job opportunities, facilitate collaboration with other major universities, and attract more high-achieving students who prefer Seoul's location and amenities.","Here's how I'd explain this to a very, very little child:

**School is Moving!**

There's a school that's going to a new place!

🏠 **Big Place**: The school is going somewhere BIG! Like a really big room with lots of space!

👶 **More Kids**: There will be MORE kids to play with! Yay!

🎈 **More Fun**: More toys and fun things!

It's like this: You know how you like playing where all your toys are? The school wants to go where there are MORE toys and MORE friends!

The big people think kids will be happy in the big place with lots of fun stuff.

Just like you're happier when you have lots of toys to play with!

The end! 😊"
1447,GEMINI,10.0,14.0,13.5,1.52,14.37,5,"The core concept is that KAIST should relocate from Daejeon to Seoul to improve job opportunities for students, facilitate inter-university collaboration, and attract a larger pool of talented prospective students.","Okay, little friend, listen to this SUPER fun story!

Imagine a special school, a **Robot School**! Beep-boop! They learn to make *shiny robots* and *cool cars* there! Vroom-vroom!

Right now, this school is far away. Zzzzz... A little bit sleepy.

But! Some grown-ups have a super idea! They want to move the Robot School to a **BIG, HAPPY city called Seoul**! Woo-hoo!

Why would they do this? It's like three super good things!

1.  **Make Toys Faster!** It's like having all your special building blocks RIGHT next to you! So the grown-ups can make robots *super-fast*! Zoom! No waiting!

2.  **Play with More Friends!** In the big city, there are *other smart schools*! Lots of friends! The robot grown-ups can meet other grown-ups! They can say, ""Hi! Let's build a giant robot TOGETHER!"" Like sharing your favorite toys! More fun!

3.  **More Kids Want to Go!** Seoul is so much fun! If the Robot School is there, *lots and lots more kids* will want to go! ""Yay! I want to make robots too!"" It's like choosing the park with the *biggest slide*! Everyone wants to play there! Hooray!

So, moving the Robot School to Seoul is a super-duper idea! It helps them make robots *faster*, play with *friends*, and gets *more kids* excited! Hooray for robots! Beep-boop!"
486,CHATGPT,3.0,5.0,10.5,2.49,12.89,3,"The main argument is that students should be allowed to choose their own roommates rather than be assigned one. This leads to a more comfortable, harmonious living environment, better rest, and easier social connections, whereas random assignments can cause conflicts and hygiene issues.","Here’s a version that’s even easier for very young children.

- In class you sit at a small table with a friend.

- If you pick a friend who likes the same things, you have more fun.

- If you pick a friend who shares nicely, the table stays neat.

- If a small problem happens, you can talk a little and fix it.

- If you sit with someone you like, you feel happy and safe.

What if the seat is chosen for you?

- You might sit with someone you don’t know. That can feel hard and you might not be happy.

Two tiny stories:

- Ana sits with Mia. They both love reading picture books. They share nicely and feel calm.

- Sam sits with someone new. They talk loudly and don’t clean up. They don’t agree.

If you could choose, what would you look for in a buddy to sit with?

- A kind friend

- A friend who shares

- A friend who likes some of the same games or books

- A friend who makes you feel happy and safe"
486,CLAUDE,2.0,2.0,10.5,2.89,14.35,5,"The essay argues that students should be allowed to choose their own roommates rather than being assigned random roommates by the university, because self-selected roommates are more likely to be compatible in lifestyle and interests, leading to a more comfortable living environment.

Note: This essay appears to be off-topic, as it discusses roommate selection rather than addressing the prompt about whether university education should be available to all students or only good students.","**What this means for little babies:**

You know your favorite blankie?

**The big idea:** YOU pick your own blankie! Not someone else picking a yucky blankie you don't want.

**Why?** Because you want a blankie that:
- Feels good
- Smells nice  
- Makes you happy!

Like when you hug your special blankie!

**Uh oh!** The big person said something wrong!

It's like when you want milk and someone gives you shoes instead! 

Milk goes in your tummy, shoes go on your feet! The big person got mixed up - so silly!

The big person talked about the wrong thing!"
486,GEMINI,3.0,3.0,10.5,2.52,13.42,3,"This essay argues that university students should be allowed to choose their own roommates rather than having them assigned by the university. The author contends that self-selection ensures greater comfort, minimizes conflicts, and facilitates shared interests for a more positive living environment.","Okay, imagine you get to share a room with a friend!

Sometimes, grown-ups pick your room-friend for you. They just say, ""You're with this person!""

But what if *you* could pick? Like choosing your very best buddy!

*   You would feel super, super **happy**! And **safe**, like a warm hug.
*   No sad faces! No getting **mad**! Because you picked someone you really, really like.
*   You can play your favorite games together! Or read your favorite book. So much **giggling and fun**!
*   Your room would be the happiest place ever! Like a happy, sunny room!

So, this story says: Kids should pick their *own* room-friend! So everyone can be happy, happy, happy in their rooms!"
124,CHATGPT,0.0,0.0,12.0,0.96,12.18,3,"I can’t extract the core concept from the essay because no essay text was provided (it shows as ""nan""). If you’d like, here are two possible core concepts you could use for this prompt, in 1–2 sentences each:

- If the stance favors teacher-led instruction: The core concept is that guided, feedback-rich teaching provides essential structure and accountability that maximize learning outcomes, especially for complex subjects.

- If the stance favors self-directed learning: The core concept is that independent study, when supported by effective strategies and resources, can be equally or more effective due to personalized pacing, autonomy, and motivation.","Here are even simpler versions for a younger child (toddlers and younger):

- Grown-up-led play:
  A grown-up shows you one small thing to try. You try it a little. They clap and smile when you do it. It’s like a tiny coach.

- Explore and play at your own pace:
  You pick a toy and play with it. You move it, touch it, and look at it. You learn by exploring, at your own speed."
124,CLAUDE,0.0,0.0,12.0,1.63,13.04,3,"I cannot extract a core concept or main argument because no essay content was provided - the essay field shows ""nan"" (not a number/no content). To identify the main argument, I would need the actual essay text that responds to the prompt about learning preferences between self-study and teacher-guided instruction.","Hey little one! Let me tell you what happened:

**What's going on?**
You know when Mommy or Daddy reads you a book? Well, someone gave me a book, but when I opened it - NO WORDS! Just empty pages!

**The problem:**
- The book was empty! 
- Like when you open your snack box and there's no crackers inside
- Nothing there at all!

**Why I couldn't help:**
I can't read an empty book! Just like you can't eat crackers that aren't there!

**What we need:**
Someone needs to put words in the book first. Then I can read them to you!

It's like this: I was ready to read you a story, but the book had no story inside! We need someone to write the story first!

Make sense, sweetie? 😊"
124,GEMINI,0.0,0.0,12.0,1.37,12.33,2,"I cannot extract the core concept or main argument because the essay content is ""nan"" (not provided). Please provide the essay text.","Okay, little friend! Imagine I'm your special story helper. I *love* reading stories!

My job is to find the **main thing** in a story. It's like if you show me a drawing of a happy cat playing with a toy ball, I'd say, ""The main thing here is a happy cat playing!""

But sometimes, someone asks me, ""What's the main thing in this story?""

And then... they didn't give me any story at all! Uh oh!

It's like they gave me a book... but all the pages are EMPTY! There are no words inside!

So, when I say, ""I can't tell you the main thing because the story part is **not there**,"" it means...

...It means **you didn't give me any words to read!** There was nothing for my eyes to see!"
1766,CHATGPT,9.0,8.0,12.0,3.02,14.63,5,South Korea should reform its military service system. The author proposes introducing compulsory military service for women and improving soldiers' pay and meal quality to strengthen national defense and reduce the burden on young men.,"Here’s a version for a younger child:

- Helpers keep us safe.
- In Korea, grown-ups think more people should help for a while.
- Right now, most helpers are boys.
- Some people think girls and boys should help too.
- They want helpers to have good meals and fair pay.
- Adults are talking to decide what’s best."
1766,CLAUDE,8.0,8.0,12.0,3.5,15.78,5,"The author argues that South Korea's military service system needs fundamental reform, specifically advocating for mandatory military service for women (to reduce the burden on men and improve army quality) and better compensation and treatment for soldiers (including fair wages and improved food quality).","**Why Everyone Should Help (For Little Kids)**

**What happens now:**
- Big boys have to go help
- Big girls don't have to
- That's not fair!

**What's better:**
- Boys help
- Girls help too
- Everyone helps together!

It's like cleaning up toys - EVERYONE should help pick up, not just one person!

When you're big, you help too. Boys help, girls help. Fair!

*Shows two simple stick figures - one boy, one girl - both helping*

Is that better? Everyone helps!"
1766,GEMINI,7.0,9.0,12.0,2.65,13.94,3,"The essay argues for reforming South Korea's military service system by implementing mandatory service for women and significantly improving soldiers' pay and food quality. These changes are proposed to enhance military quality, reduce the burden on men, and ultimately strengthen national defense.","Hi there, little friend! Guess what? Our country, South Korea, is like our super big house! We all live and play here, right?

We have very special helpers, like superheroes! They wear special clothes and help keep our big house safe, safe, safe! They make sure nothing yucky or ouchie comes near, so we can play and smile all day!

Right now, it's mostly grown-up daddies and big brothers who do this super important job. They work super hard to keep us safe!

But guess what? Some big people have super cool ideas to make our helpers even *better*!

1.  **Idea 1: What if girls can be helpers too?** Like our mommies and big sisters! Yay! More helpers mean our big house is even *more* safe! Like having extra friends to play tag!
2.  **Idea 2: Let's give our helpers a big thank you!** Maybe a yummy cookie or a happy sticker! So they know we love them and think they are the best!
3.  **Idea 3: Give them super yummy, strong food to eat!** Like big yummy carrots and apples! So they have lots of energy to run, jump, and keep us safe, safe, safe!

If we do all these good things, our helpers will be super strong and super happy! And it means our daddies and big brothers don't have to do *all* the big work by themselves. It helps them too!

And best of all? Our whole big house – South Korea – stays super-duper safe for *everyone*! For you, for me, for mommy and daddy! Yay, yay, yay!"
268,CHATGPT,0.0,2.0,13.0,6.57,13.92,5,"I can’t extract the core concept because the essay text is missing (it shows “nan”). Please paste the actual essay content.

If you want a sense of the core concept prompts might yield, here are two possible 1–2 sentence cores depending on the stance:

- If the stance is that attendance should be mandatory: The core concept is that university students should be required to attend classes because regular attendance enhances learning, accountability, and engagement more effectively than optional attendance.

- If the stance is that attendance should be optional: The core concept is that class attendance should be optional, since students learn best through flexibility and self-directed study, with supports in place to ensure adequate engagement.","Here’s an even younger version, for babies 0–6 months.

Mandatory attendance (everyone goes to class)
- Idea: All babies come to group time with a grown-up nearby.
- Why it helps: Hearing soft singing, seeing friendly faces, and being held or touched gently helps calm and comfort babies.
- Analogy: A tiny circle of smiles and soft sounds.
- Tiny example: If you miss it, you might miss the song or the cuddly moment with a grown-up.

Optional attendance (you can go to class or stay with a grown-up)
- Idea: A grown-up can stay close, or you can rest with a grown-up nearby.
- Why it helps: Some days babies want quiet time or a nap, and grown-ups know what helps.
- Analogy: A cozy corner with a soft toy and a hug.
- Tiny example: If you stay with a grown-up, you might nap or look at a soft book together.

Small note that fits both ideas
- Classes can use simple pictures and gentle reminders for grown-ups.
- Every baby learns differently, so it’s good to have choices and to keep cuddles and care part of learning."
268,CLAUDE,0.0,0.0,13.0,1.26,12.32,3,"I cannot extract a core concept or main argument because no essay content was provided - the essay field shows ""nan"" (not a number/no content). To identify the main argument, I would need the actual essay text that responds to the prompt about whether university class attendance should be mandatory or optional.","**What happened? Let me tell you!**

**It's like this:**
You have a book, but when you open it... it's all empty! No pictures at all!

That's what happened. Someone forgot to put their story in!

**It's like:**
- A cookie jar with no cookies
- A toy box with no toys
- Looking for your blankie but it's not there

**What's ""nan""?**
""Nan"" means ""nothing here!"" 

Like when you look for something and it's gone!

**The easy part:**
To read a story, you need words first!

No words = no story!

Like mommy needs a book with pictures to read to you!

*It's okay - someone just forgot to put their story in!* 📚"
268,GEMINI,0.0,0.0,13.0,-0.76,11.4,2,"The essay content is ""nan,"" indicating that there is no essay provided. Therefore, I cannot extract a core concept or main argument. Please provide the full essay text.","Okay, imagine you asked me, ""Tell me about my picture!""

But... I don't see a picture!

It's like an empty paper.

I can't see a sunshine! I can't see a puppy! I can't see anything!

I need to *see* your picture first.

Can you show me your real picture, please?"
437,CHATGPT,11.0,12.0,12.5,5.78,15.21,5,"The core concept is that studying alone is preferable to studying in a group. The author argues this because introversion makes group settings anxious and unproductive, and solo study enhances focus and reduces time wasted on social distractions.","Newborns (birth–3 months)

Story time (birth–3 months):
- Meet Pip. Pip is a tiny newborn held close in your arms or against your chest.
- Pip listens to your voice and watches your face as you talk in a soft, slow way.
- Pip may respond with a tiny reflex smile, a little sigh, or a calm wiggle. True social smiles usually come a bit later.
- Very short, quiet moments together help Pip feel safe and begin to learn.

Simple ideas to study together (birth–3 months):
- Find a comfy spot in your lap or cradle, with Pip facing you or nestled close.
- Do one tiny, calm activity at a time: one soft word or song, one gentle cuddle, one slow pause to look into Pip’s eyes.
- Keep the room gentle: soft lights, quiet sounds or gentle music; avoid loud noises and bright flashing toys.
- Use a gentle rhythm: sway, hum, and slow breathing; watch Pip’s cues (turning head, closing eyes, rooting) and pause when Pip seems tired or overstimulated.
- If Pip fusses, try again after a short break with a cuddle or nap.
- If you need help, ask a grown-up you trust for tips.

Note: It’s okay to enjoy group time, but newborns benefit most from very short, calm moments of connection. If you’d like, I can make a version for ages 3–6 months as well."
437,CLAUDE,8.0,8.0,12.5,4.83,16.29,5,"The author argues that studying alone is preferable to group study because their introverted personality makes group interactions counterproductive, and solo studying better develops the independent focus skills needed for real-world work situations.","Here's how I'd explain this to a teeny tiny baby:

**The Baby Version:**

*[In a very soft, cooing voice with gentle touches]*

**You like quiet time!**
*[Pat pat pat]*

**Quiet = Good!**
*[Whisper softly]*

**You = Good baby!**
*[Big smile and gentle clap]*

**Simple sounds:**
- ""Shhh... nice""
- ""Quiet... happy""
- ""You... good""

*[Hold up one finger]*
**One you = Perfect!**

*[Gentle rocking motion]*
**Calm baby**
**Happy baby**
**Good baby**

*[Soft singing voice]*
""Quiet time, happy time, you're my good baby""

**Super simple:** 
*[Gentle whisper with loving eyes]*
""Quiet good. You good.""

*[Lots of gentle smiles, soft touches, and calm energy throughout]*"
437,GEMINI,9.0,12.0,12.5,-0.54,12.16,3,"The author prefers studying alone because group study leads to inefficiency, social anxiety, and distractions. In contrast, studying alone allows them to enhance their focus and develop self-reliance crucial for real-world challenges.","Okay, sweetie pie! Look! Here's your favorite little toy car! (Hold up a toy car)

You want to push the car! Vroom! Vroom!
You say, **""Me do it! Me do it!""** (Use a happy, encouraging voice, mime pushing the car)
You want to push it **all by yourself**!

Why is ""Me do it!"" so super-duper good?

Sometimes, if we play with **lots** of friends...
*   ...they might grab your car! Oh no!
*   ...or make lots of noise, and it's hard to push your car!

But when you do it **all by yourself**, ""Me do it!"":
*   You push your car! Vroom! Yay! All by yourself!
*   You learn how to do it! You know how!
*   And it makes you feel so, so happy! Good job!
*   Then you can do **many** happy things all by yourself! Like putting away your blocks! Or eating your yummy snack!"
1540,CHATGPT,8.0,8.0,12.5,2.28,14.76,3,"KAIST should build an underground tunnel through Hill Eoeun to connect the western dormitory with the campus’s lecture buildings, solving access issues and shortening commutes. The tunnel would also reduce energy use and is presented as an especially opportune project due to low dorm occupancy during COVID-19.","Short story (tiny, simple, very easy to understand)
- Ana and Jay are friends.
- They live near a hill.
- The hill is big.
- A tunnel could go under the hill.
- The tunnel goes from home to class.
- It is fast.
- You stay dry in the rain.
- Grown-ups help keep it safe.

Simple drawing idea
- Draw a big hill in the middle.
- Put homes on the left and classrooms on the right.
- Draw a curved line under the hill from left to right to show the tunnel.
- Add a few happy people going through.
- Use colors: hill green, homes yellow, classrooms blue, tunnel gray."
1540,CLAUDE,8.0,8.0,12.5,1.61,14.38,4,"The essay argues that KAIST University should construct a tunnel through Hill Eoeun to solve transportation difficulties for students living in western dormitories who must walk long distances around the hill to reach their classes. The author contends that now is the ideal time to build this tunnel due to reduced dormitory occupancy during COVID-19, which would minimize construction disruption while providing a cooler underground passage for future use.","**The Magic Underground Path**

You know how moles go under the dirt? They make tunnels!

There's a big, big hill. Kids live here. School is there. But the hill is in the middle!

Right now, kids walk around the whole hill. Walk, walk, walk - so far! Like walking all around the playground just to get your ball!

So grown-ups said, ""Let's dig under the hill!"" Like digging in the sandbox, but bigger!

Then kids can walk straight through! Go in here, come out there! No more long walk around!

When it's hot or wet outside, kids stay nice inside their tunnel.

It's like a secret cave! You go in one door, come out another door!

They want to build it now so it's ready for you!

Cool tunnel under the hill - just for kids!"
1540,GEMINI,9.0,11.0,12.5,1.06,12.81,2,"The core concept is that KAIST should construct a tunnel through Hill Eoeun to improve western dormitory students' access to lecture halls, citing the current low dorm occupancy due to COVID-19 as an ideal construction period and the tunnel's potential to provide a cool, energy-efficient passage.","Okay, little one, imagine your bed is way over *here*.
And your favorite toys are way over *there*!

But in between your bed and your toys is a **super big mountain**!
To get to your toys, you have to walk *all around* the mountain. It's a long, long walk! Your little legs get tired, and the sun makes you so, so hot! Phew!

Now, some smart people have a super secret idea!
What if we dig a **secret hole** right *through* the middle of the big mountain?
Like a little worm digs a hole in an apple! *Squiggle, wiggle!*

And guess what? Right now, it's a *quiet* time. Not many big kids are playing near the mountain. So it's a perfect time for the big diggers to make our secret hole! No one will be in the way!

When the secret hole is all done, it will be amazing!
1.  You can get to your toys **super fast**! *Vroom!*
2.  It will be nice and **cool inside**, like a shady tree on a hot day. No more hot sun on your head!
3.  And it just *stays* cool all by itself! That's super smart!

So, it's like making a super cool, super fast, secret path just for you! And we can do it now while it's quiet!"
595,CHATGPT,8.0,8.0,12.0,2.29,12.89,2,"Friends are the most important influence on young adults. The essay argues this because young adults spend most of their time with friends, communicate about trends through SNS, and share similar interests, creating stronger mutual influence than family.","Friends help you have fun. They show you games and things you might like.

Family loves you. They teach you to be kind and to stay safe.

Think about what you like and pick what makes you happy.

If something feels wrong or scary, tell a grown-up you trust."
595,CLAUDE,7.0,7.0,12.0,3.07,15.83,5,"The essay argues that friends are the most important influence on young adults because they spend significantly more time together, share common communication topics (especially through social media), and have no generation gap between them, unlike the barriers that often exist in family relationships.","**Friends Are Fun!**

**Play! Play! Play!**
- Play with Mama!
- Play with friend!
- Fun! Fun! Fun!

**Friend Like You!**
- You like ball - friend like ball!
- You like snacks - friend like snacks!
- Happy!

**Friend Nice!**
- Friend gives hugs
- Friend smiles
- Friend plays

**Friends Good!**
Mama loves you! Dada loves you! Friends play and make you happy!

*[This version uses one- to two-word phrases, immediate repetition, exclamation points for excitement, and focuses only on the most basic concepts: friends play with you and make you happy. Perfect for children just beginning to speak and understand simple concepts.]*"
